seed_term,seed_batch,kind,query,value,formatted_value
dining table,0,top,dining table set,100,100
dining table,0,top,dining set,99,99
dining table,0,top,dining room table,94,94
dining table,0,top,round dining table,91,91
dining table,0,top,dining chairs,78,78
dining table,0,top,dining table chairs,75,75
dining table,0,top,wood dining table,57,57
dining table,0,top,black dining table,37,37
dining table,0,top,outdoor dining table,36,36
dining table,0,top,dining table and chairs,34,34
dining table,0,top,white dining table,33,33
dining table,0,top,modern dining table,32,32
dining table,0,top,small dining table,28,28
dining table,0,top,kitchen table,25,25
dining table,0,top,extendable dining table,23,23
dining table,0,top,glass dining table,23,23
dining table,0,top,dining table for 6,22,22
dining table,0,top,chairs for dining table,20,20
dining table,0,top,ikea dining table,19,19
dining table,0,top,ikea,19,19
dining table,0,top,dining table height,18,18
dining table,0,top,dining table sets,18,18
dining table,0,top,dining tables,17,17
dining table,0,top,oval dining table,17,17
dining table,0,top,marble dining table,17,17
dining table,0,rising,dining table set for 4 with chairs,850,+850%
dining table,0,rising,dining table set for 4,350,+350%
dining table,0,rising,small dining table set for 4,300,+300%
dining table,0,rising,small dining table for 4,300,+300%
dining table,0,rising,dining table set for 6,300,+300%
dining table,0,rising,oval dining table for 6,300,+300%
dining table,0,rising,dining table set for 8,250,+250%
dining table,0,rising,dining table for 6,200,+200%
dining table,0,rising,our dining table,200,+200%
dining table,0,rising,round dining table for 4,200,+200%
dining table,0,rising,small dining table for 2,200,+200%
dining table,0,rising,foldable dining table,170,+170%
dining table,0,rising,black round dining table,170,+170%
dining table,0,rising,white oak dining table,130,+130%
dining table,0,rising,round extendable dining table,130,+130%
dining table,0,rising,modern dining table set,110,+110%
dining table,0,rising,arhaus,110,+110%
dining table,0,rising,arhaus dining table,100,+100%
dining table,0,rising,solid wood dining table,100,+100%
dining table,0,rising,round pedestal dining table,100,+100%
dining table,0,rising,circle dining table,100,+100%
dining table,0,rising,outdoor dining set,100,+100%
dining table,0,rising,outdoor dining table set,100,+100%
dining table,0,rising,black dining table,90,+90%
dining table,0,rising,chairs for dining table,90,+90%
sofa,0,top,sectional sofa,100,100
sofa,0,top,bed sofa,97,97
sofa,0,top,sofa bed,95,95
sofa,0,top,leather sofa,78,78
sofa,0,top,sofa couch,72,72
sofa,0,top,couch,69,69
sofa,0,top,sleeper sofa,65,65
sofa,0,top,sofa set,55,55
sofa,0,top,sofa table,49,49
sofa,0,top,black sofa,36,36
sofa,0,top,sofa chair,35,35
